Codigo,Articulo,Unidad_de_Medida,Real
SPCMB,SEPARADOR COMBO 2022,Unidad,181.00
SPES,SALSA PESTO,Kilogramo,6.87
SPIST,SALSA DE PISTACHO BOTELLA,Kilogramo,0.85
SQUE,ME SALSA QUESABROSA,Unidad,43.00
SSTEAK,SALSA STEAK & GRILL,Kilogramo,1.35
STBP,SEPARADOR TELEPIBOX PEQUE?A,Unidad,50.00
STC4,TARRINA STRAW CHEESECAKE 460ML,Unidad,11.00
STRI,ME STRIPS DE POLLO 6X1KG,Kilogramo,9.60
T125,"ME TARRO 1,25 L HEGAHOGAR",Unidad,7.00
TAP6,ME TAPA SALSERA ECOP. 60 ML,Unidad,187.00
TCHC,TARR. STRAWBERRY CHEESECAKE 95,Unidad,51.00
TCHM,TOMATE CHERRY MITAD,Kilogramo,8.86
TKSALSA,SALSA KEBAB,Gramo,1750.00
TMEM,TAPA METALICA ENVASE MINIS,Unidad,27.00
TMIMOS,TARRINA MIEL Y MOSTAZA,Unidad,78.00
TOMCNF,TOMATE CONFITADO CUBO,Kilogramo,5.20
TOME,"ME TORTILLA TRIGO 29,5 CM MENE",Unidad,12.00
TPADR,TAZAS PIZARRA,Unidad,67.00
TPOTI,TOPPING DE POLLO EN TIRAS,Kilogramo,27.36
TRINU,TRIPODE NUEVO,Unidad,26000.00
TSCREM,TARRINA CREMOSA AL AJO,Unidad,38.00
TSIR,TRIANGULO SIRATCHA,Kilogramo,9.59
TTCM,TARRINA TOMATE CONFITADO,Unidad,112.00
YOFP,YOGIKIDS POUCH FRESA-PLATANO,Unidad,0.00
YOFR,YOGIKIDS POUCH FRESA,Unidad,0.00
