Codigo,Articulo,Unidad_de_Medida,Consumo
PAGM,ME PAPEL ANTIGRASA MENEO,Unidad,226.00
PAHCOM,PAPEL DE HORNO PARA COMPLEMENT,Unidad,0
PANT,PAPEL ANTIGRASA,Unidad,93.00
PANTRO,BACON ASADO TROCEADO 6X500GR,Kilogramo,0.44
PAXL,PAPEL ANTIGRASA XL,Unidad,43.00
PBB3,PAN BURGER BRIOCHE 30 UDS,Unidad,56.00
PE,PEPPERONI,Kilogramo,19.94
PEGM,PEGATINAS MINIS (TP),Unidad,0
PGL1,PEGATINA LUMINOSA TPZ 1,Unidad,12.00
PGL2,PEGATINA LUMINOSA TPZ 2,Unidad,3.00
PGTP,PATATAS GAJO (TP),Kilogramo,39.00
PI,PI?A,Kilogramo,9.59
PIKN,ME SALSA PICANTONA 32X45GR,Unidad,5.00
PKTAI,PASTA KATAIFI 500GR,Kilogramo,0.56
PMASD,PIMIENTO ASADO,Kilogramo,9.26
PNFCC,PAN FOCACCIA,Unidad,6.00
PS7U5,PET 7UP ZERO 500ML,Unidad,16.00
PSAL3,LATA AQUARADE LIMON ZERO,Unidad,21.00
PSAL5,PET AQUARADE LIMON ZERO 500ML,Unidad,2.00
PSAN5,PET AQUARADE NARANJA ZERO 500M,Unidad,3.00
PSAQN,LATA AQUARADE NARANJA ZERO,Unidad,9.00
PSKL5,PET KAS LIMON 500ML,Unidad,5.00
PSKLZ,LATA KAS LIMON,Unidad,18.00
PSKN1,PET KAS NARANJA 1L,Unidad,28.00
PSKN5,PET KAS NARANJA 500ML,Unidad,23.00
PSKNZ,LATA KAS NARANJA,Unidad,22.00
PSL7U,LATA 7UP ZERO,Unidad,11.00
PSLM5,PET LIPTON MANGO MARACUYA 500,Unidad,1.00
PSLT5,PET LIPTON ZERO 500ML,Unidad,42.00
PSLTZ,LATA LIPTON ZERO,Unidad,31.00
PSPR1,PET PEPSI REGULAR 1L,Unidad,69.00
PSPR3,LATA PEPSI REGULAR,Unidad,103.00
PSPR5,PET PEPSI REGULAR 500ML,Unidad,80.00
PSPZ1,PET PEPSI ZERO 1L,Unidad,37.00
PSPZ3,LATA PEPSI ZERO,Unidad,65.00
PSPZ5,PET PEPSI ZERO 500ML,Unidad,54.00
PUBE,YY PULLED BEEF,Kilogramo,0
PUPO,PULLED PORK REFRIGERADO 500GR,Kilogramo,4.35
PVN,PIMIENTO VERDE CONGELADO,Kilogramo,7.20
PZLS,PEPSI ZERO LIMA 500 SAMPLING,Unidad,0
QCAB,QUESO CABRA,Kilogramo,7.40
QCHDNP,QUESO CHEDDAR NARANJA PICADO,Kilogramo,5.05
QCHLO,QUESO CHEDDAR LONCHAS,Kilogramo,1.92
QFCPJ,QUESO FUNDIDO IRL,Gramo,399.00
QPRO,QUESO PROVOLONE,Kilogramo,8.00
QRG,ZZ QUESO RALLADO GRATINAR,Kilogramo,0
QSBR,QUESO SBRINZ,Kilogramo,4.08
QTRU,QUESO TRUFADO 1 KG,Kilogramo,0.80
RINCHE,RING DE CHEDDAR,Kilogramo,2.57
RJGR,RUFFLES JAMON B.GRANDE 150GR,Unidad,0
RJPQ,RUFFLES JAMON B.PEQ 45GR,Unidad,0
RTB84,ROLLO TERMICO BLANCO,Unidad,0
SAC18,SOPORTE ARBOL CATALAN 18,Unidad,0
SAL6,ME SALSERA ECOP. 60 ML,Unidad,70.00
SBBQB,SALSA BARBACOA BOLSA,Kilogramo,62.29
SBREAP,SOBRES ACEITE PICANTE 300,Unidad,11.00
SC,TARRINA SALSA BARBACOA,Unidad,92.00
SCBU,SEPARADOR CAJA BURGER,Unidad,28.00
SCCE,ME SALSA CREMOSA CEBOLLINO,Unidad,16.00
SCCRE,STICK COOKIE &CREAM 80 ML,Unidad,1.00
SCHB,SALSA DE CHOCOLATE BOTELLA,Kilogramo,2.48
SEMA,SEMOLA MALTEADA 600 GR,Kilogramo,0.58
SERM,ME SERVILLETA KRAFT MENEO 30X4,Unidad,0
SHCL,SALCHICHA CLASSIC,Kilogramo,4.11
SIMPR,SERVILLETA IMPRESA 32X40 MAXIS,Unidad,0
SLCM,YY SALSA CURRY MANGO,Kilogramo,0
SLIME,SLIME,Unidad,0
SMAK,STICK MACADAMIA 80 ML,Unidad,0
SMAY,ME SALSA MAYO,Unidad,3.00
SMAYO,SALSA MAYONESA TRUFA 875ML,Kilogramo,0.37
SMED,ME SALSA MEDITERRANEA,Unidad,10.00
SMIE,ME SALSA MIEL MOSTAZA 32X40GR,Unidad,12.00
SORP,REGALO SORPRESA,Unidad,24.00
SPCMB,SEPARADOR COMBO 2022,Unidad,40.00
SPES,SALSA PESTO,Kilogramo,0.36
SPIST,SALSA DE PISTACHO BOTELLA,Kilogramo,0.28
SQUE,ME SALSA QUESABROSA,Unidad,30.00
SSTEAK,SALSA STEAK & GRILL,Kilogramo,0.45
STBP,SEPARADOR TELEPIBOX PEQUE?A,Unidad,0
STC4,TARRINA STRAW CHEESECAKE 460ML,Unidad,9.00
STRI,ME STRIPS DE POLLO 6X1KG,Kilogramo,14.84
T125,"ME TARRO 1,25 L HEGAHOGAR",Unidad,0
TAP6,ME TAPA SALSERA ECOP. 60 ML,Unidad,70.00
TCHC,TARR. STRAWBERRY CHEESECAKE 95,Unidad,8.00
TCHM,TOMATE CHERRY MITAD,Kilogramo,2.05
TKSALSA,SALSA KEBAB,Gramo,1570.00
TMEM,TAPA METALICA ENVASE MINIS,Unidad,0
TMIMOS,TARRINA MIEL Y MOSTAZA,Unidad,86.00
TMOR,TARRINA DE MORCILLA,Kilogramo,0
TOMCNF,TOMATE CONFITADO CUBO,Kilogramo,2.71
TOME,"ME TORTILLA TRIGO 29,5 CM MENE",Unidad,9.00
TPADR,TAZAS PIZARRA,Unidad,0
TPOTI,TOPPING DE POLLO EN TIRAS,Kilogramo,37.84
TRINU,TRIPODE NUEVO,Unidad,0
TSCREM,TARRINA CREMOSA AL AJO,Unidad,19.00
TSIR,TRIANGULO SIRATCHA,Kilogramo,1.88
TTCM,TARRINA TOMATE CONFITADO,Unidad,22.00
YOFP,YOGIKIDS POUCH FRESA-PLATANO,Unidad,0
YOFR,YOGIKIDS POUCH FRESA,Unidad,0
